year,month,vendor_id,vendor_name,payment_type,payment_name,total_trips,total_revenue,total_tips,avg_fare,total_corrections
2001,1,2,"Curb Mobility, LLC",1,Credit card,3,188.66,23.46,47.9667,0
2001,1,2,"Curb Mobility, LLC",2,Cash,3,149.0,0.0,43.0667,0
2002,12,2,"Curb Mobility, LLC",1,Credit card,9,585.67,92.17,44.3889,0
2002,12,2,"Curb Mobility, LLC",2,Cash,9,328.5,0.0,31.5222,0
2002,12,2,"Curb Mobility, LLC",3,No charge,2,0.0,0.0,0.0,1
2003,1,2,"Curb Mobility, LLC",2,Cash,4,318.08,0.0,70.3,0
2003,1,2,"Curb Mobility, LLC",1,Credit card,2,136.0,27.2,51.65,0
2008,12,2,"Curb Mobility, LLC",1,Credit card,17,1106.9,151.56,47.2235,0
2008,12,2,"Curb Mobility, LLC",2,Cash,9,264.05,0.0,23.6111,0
2009,1,2,"Curb Mobility, LLC",2,Cash,12,464.87,0.0,31.025,0
2009,1,2,"Curb Mobility, LLC",1,Credit card,8,228.46,39.87,17.175,0
2014,11,2,"Curb Mobility, LLC",1,Credit card,1,52.38,8.73,33.1,0
2023,1,2,"Curb Mobility, LLC",1,Credit card,6,184.97,16.27,21.9833,0
2023,1,2,"Curb Mobility, LLC",2,Cash,2,30.0,0.0,10.0,0
2023,2,2,"Curb Mobility, LLC",1,Credit card,1668941,47594704.68,7101295.36,18.7291,9
2023,2,1,"Creative Mobile Technologies, LLC",1,Credit card,583795,15667001.16,2264243.99,17.5964,0
2023,2,2,"Curb Mobility, LLC",2,Cash,343961,8033577.33,709.51,18.3584,5192
2023,2,1,"Creative Mobile Technologies, LLC",2,Cash,116432,2567866.51,23.66,17.0277,0
2023,2,1,"Creative Mobile Technologies, LLC",3,No charge,6250,142288.82,3.38,17.6409,0
2023,2,1,"Creative Mobile Technologies, LLC",4,Dispute,2420,55144.87,7.0,17.7474,0
2023,2,2,"Curb Mobility, LLC",4,Dispute,26444,1210.72,1368.92,-0.0042,13227
2023,2,2,"Curb Mobility, LLC",3,No charge,6496,19.63,69.43,-0.0044,3250
2023,3,2,"Curb Mobility, LLC",1,Credit card,1926729,56934653.74,8520564.64,19.4662,22
